               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                  45,            0.063618,            0.064081,            0.040941,             0.70526,             0.33333,             0.34289,             0.16169,            0.059965,            0.067653,            0.033811,            0.014046,            0.005046,            0.005046,             0.24321,             0.29876,             0.38979,            0.026862,                   0,            0.011484,             0.55489,             0.62949,             0.77708,            0.067965,                   0,              0.0279
                  46,            0.060875,            0.055567,            0.040694,             0.70526,             0.33333,             0.34289,             0.16169,            0.059965,            0.067653,            0.033811,            0.012065,           0.0050648,           0.0050648,             0.24321,             0.29876,             0.38979,            0.026862,                   0,            0.011484,             0.55489,             0.62949,             0.77708,            0.067965,                   0,              0.0279
                  47,            0.061977,            0.074625,             0.03616,             0.77969,             0.38878,             0.31921,              0.1902,            0.057813,             0.06608,            0.033529,             0.01008,           0.0050797,           0.0050797,               0.401,             0.54405,             0.13762,            0.034949,                   0,            0.023595,             0.62511,             0.78786,              0.4177,            0.042795,                   0,             0.04178
                  48,            0.064163,            0.054441,            0.043329,             0.77969,             0.38878,             0.31921,              0.1902,            0.057813,             0.06608,            0.033529,           0.0080906,           0.0050906,           0.0050906,               0.401,             0.54405,             0.13762,            0.034949,                   0,            0.023595,             0.62511,             0.78786,              0.4177,            0.042795,                   0,             0.04178
                  49,            0.065059,            0.065711,            0.042933,             0.65288,             0.33016,             0.25166,             0.10562,            0.054109,            0.063041,            0.033117,           0.0060975,           0.0050975,           0.0050975,             0.12257,            0.083662,             0.34948,            0.022628,                   0,            0.055371,             0.33541,             0.31807,             0.68352,            0.052573,                   0,             0.12041
                  50,            0.062931,            0.061166,            0.039182,             0.65288,             0.33016,             0.25166,             0.10562,            0.054109,            0.063041,            0.033117,             0.00505,             0.00505,             0.00505,             0.12257,            0.083662,             0.34948,            0.022628,                   0,            0.055371,             0.33541,             0.31807,             0.68352,            0.052573,                   0,             0.12041
                  51,             0.07155,            0.089349,            0.043086,             0.79249,             0.42647,             0.46719,             0.26584,            0.056575,            0.062833,             0.03267,             0.00505,             0.00505,             0.00505,             0.39675,             0.54626,             0.51721,             0.01488,                   0,             0.11994,              0.7751,             0.88735,             0.81617,             0.02246,                   0,             0.30205
                  52,            0.057468,            0.066671,            0.037296,             0.79249,             0.42647,             0.46719,             0.26584,            0.056575,            0.062833,             0.03267,            0.004951,            0.004951,            0.004951,             0.39675,             0.54626,             0.51721,             0.01488,                   0,             0.11994,              0.7751,             0.88735,             0.81617,             0.02246,                   0,             0.30205
                  53,            0.061165,            0.056875,            0.039944,             0.81506,             0.39412,             0.53528,             0.26374,            0.052333,            0.062108,            0.032629,            0.004852,            0.004852,            0.004852,             0.41272,              0.5521,             0.30715,           0.0077833,             0.10439,             0.19831,             0.69307,              0.9406,             0.94175,            0.011363,             0.27243,             0.35246
                  54,            0.059827,            0.071712,            0.041298,             0.81506,             0.39412,             0.53528,             0.26374,            0.052333,            0.062108,            0.032629,            0.004753,            0.004753,            0.004753,             0.41272,              0.5521,             0.30715,           0.0077833,             0.10439,             0.19831,             0.69307,              0.9406,             0.94175,            0.011363,             0.27243,             0.35246
