               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                  56,            0.052265,            0.048268,            0.028068,             0.83847,             0.54305,             0.65078,             0.27289,            0.053474,            0.058837,            0.019748,              0.0056,              0.0056,              0.0056,             0.33062,             0.40866,             0.41779,             0.02804,            0.032371,             0.41985,               0.995,               0.995,             0.79775,            0.075597,            0.046322,               0.995
                  57,            0.049246,            0.056314,            0.027298,             0.81796,             0.56642,              0.6839,              0.4094,            0.035414,            0.057702,            0.019491,             0.00552,             0.00552,             0.00552,             0.54779,             0.63595,             0.55639,            0.046982,            0.046085,             0.62322,               0.995,             0.98793,             0.99259,            0.075284,            0.057605,               0.995
                  58,            0.046369,            0.077227,            0.028081,             0.81796,             0.56642,              0.6839,              0.4094,            0.035414,            0.057702,            0.019491,             0.00544,             0.00544,             0.00544,             0.54779,             0.63595,             0.55639,            0.046982,            0.046085,             0.62322,               0.995,             0.98793,             0.99259,            0.075284,            0.057605,               0.995
                  59,            0.043135,            0.044688,            0.028066,             0.77702,              0.5437,             0.65764,             0.22131,            0.049875,            0.057916,            0.019024,             0.00536,             0.00536,             0.00536,             0.21032,             0.26594,             0.35951,            0.031651,            0.084079,             0.37637,             0.87049,               0.995,             0.78187,            0.057928,             0.24557,               0.995
                  60,            0.050298,             0.05991,            0.026984,             0.77702,              0.5437,             0.65764,             0.22131,            0.049875,            0.057916,            0.019024,             0.00528,             0.00528,             0.00528,             0.21032,             0.26594,             0.35951,            0.031651,            0.084079,             0.37637,             0.87049,               0.995,             0.78187,            0.057928,             0.24557,               0.995
                  61,            0.049796,            0.057236,            0.027035,             0.83648,             0.58188,             0.72447,             0.45546,            0.030927,            0.053301,            0.018761,              0.0052,              0.0052,              0.0052,              0.6642,             0.66729,             0.37485,            0.065621,             0.22798,             0.73279,               0.995,               0.995,               0.995,             0.10396,             0.26285,               0.995
                  62,            0.040927,            0.043648,            0.027805,             0.83648,             0.58188,             0.72447,             0.45546,            0.030927,            0.053301,            0.018761,             0.00512,             0.00512,             0.00512,              0.6642,             0.66729,             0.37485,            0.065621,             0.22798,             0.73279,               0.995,               0.995,               0.995,             0.10396,             0.26285,               0.995
                  63,            0.041745,            0.059633,            0.026237,             0.71914,             0.57526,             0.75414,             0.51975,            0.043646,            0.059718,            0.018628,             0.00504,             0.00504,             0.00504,             0.66999,              0.5812,             0.74485,            0.042155,             0.27317,             0.80716,               0.995,               0.995,               0.995,            0.079695,             0.46513,               0.995
                  64,            0.048786,            0.070614,            0.024226,             0.71914,             0.57526,             0.75414,             0.51975,            0.043646,            0.059718,            0.018628,             0.00496,             0.00496,             0.00496,             0.66999,              0.5812,             0.74485,            0.042155,             0.27317,             0.80716,               0.995,               0.995,               0.995,            0.079695,             0.46513,               0.995
                  65,            0.048952,            0.036665,            0.030922,             0.80425,             0.60341,             0.73329,             0.30764,            0.040445,             0.05516,            0.018583,             0.00488,             0.00488,             0.00488,             0.38908,             0.39091,             0.41879,             0.03244,             0.23149,             0.38314,               0.995,               0.995,               0.995,            0.087742,               0.332,               0.995
                  66,            0.044748,            0.035804,            0.028174,             0.80425,             0.60341,             0.73329,             0.30764,            0.040445,             0.05516,            0.018583,              0.0048,              0.0048,              0.0048,             0.38908,             0.39091,             0.41879,             0.03244,             0.23149,             0.38314,               0.995,               0.995,               0.995,            0.087742,               0.332,               0.995
                  67,            0.045333,            0.054043,            0.026511,             0.64532,             0.60464,             0.66698,             0.31287,            0.047161,            0.057459,            0.018318,             0.00472,             0.00472,             0.00472,             0.45208,             0.44259,              0.2884,            0.038271,             0.24198,             0.41392,               0.995,               0.975,             0.65557,            0.053774,             0.32754,               0.995
                  68,            0.049901,            0.080506,            0.023333,             0.64532,             0.60464,             0.66698,             0.31287,            0.047161,            0.057459,            0.018318,             0.00464,             0.00464,             0.00464,             0.45208,             0.44259,              0.2884,            0.038271,             0.24198,             0.41392,               0.995,               0.975,             0.65557,            0.053774,             0.32754,               0.995
                  69,            0.047369,            0.059935,            0.023439,             0.89492,             0.58114,              0.8089,              0.4341,            0.034859,            0.054715,             0.01814,             0.00456,             0.00456,             0.00456,             0.47406,             0.48821,             0.55852,            0.096709,             0.54749,             0.43962,               0.995,               0.995,               0.995,             0.11791,             0.75546,               0.995
                  70,            0.037114,            0.047705,            0.025382,             0.89492,             0.58114,              0.8089,              0.4341,            0.034859,            0.054715,             0.01814,             0.00448,             0.00448,             0.00448,             0.47406,             0.48821,             0.55852,            0.096709,             0.54749,             0.43962,               0.995,               0.995,               0.995,             0.11791,             0.75546,               0.995
                  71,            0.035187,            0.048908,            0.025993,             0.72248,             0.66145,              0.8007,             0.42241,            0.046415,             0.06218,            0.017739,              0.0044,              0.0044,              0.0044,             0.46837,             0.49695,             0.47506,            0.042753,             0.56678,             0.48454,               0.995,               0.995,             0.99481,             0.10553,             0.71888,               0.995
                  72,            0.048141,            0.060829,            0.024977,             0.72248,             0.66145,              0.8007,             0.42241,            0.046415,             0.06218,            0.017739,             0.00432,             0.00432,             0.00432,             0.46837,             0.49695,             0.47506,            0.042753,             0.56678,             0.48454,               0.995,               0.995,             0.99481,             0.10553,             0.71888,               0.995
                  73,            0.047338,            0.062525,            0.024476,             0.88182,             0.66271,             0.84607,             0.61129,            0.029429,            0.054158,             0.01742,             0.00424,             0.00424,             0.00424,              0.7328,             0.71562,             0.70891,            0.084246,              0.8515,             0.57464,               0.995,               0.995,             0.99245,             0.10396,               0.995,               0.995
                  74,            0.033155,            0.032948,            0.024174,             0.88182,             0.66271,             0.84607,             0.61129,            0.029429,            0.054158,             0.01742,             0.00416,             0.00416,             0.00416,              0.7328,             0.71562,             0.70891,            0.084246,              0.8515,             0.57464,               0.995,               0.995,             0.99245,             0.10396,               0.995,               0.995
                  75,             0.03527,              0.0599,            0.024492,             0.92612,             0.66348,             0.84626,             0.57775,            0.035705,            0.056185,            0.017028,             0.00408,             0.00408,             0.00408,             0.68404,              0.7318,             0.60973,            0.071581,             0.80003,              0.5693,               0.995,               0.995,             0.99362,             0.10396,               0.995,               0.995
                  76,            0.047966,            0.078671,            0.022448,             0.92612,             0.66348,             0.84626,             0.57775,            0.035705,            0.056185,            0.017028,               0.004,               0.004,               0.004,             0.68404,              0.7318,             0.60973,            0.071581,             0.80003,              0.5693,               0.995,               0.995,             0.99362,             0.10396,               0.995,               0.995
                  77,            0.037196,            0.049306,             0.02257,             0.94557,             0.47943,             0.83478,              0.4707,            0.034222,            0.052876,            0.016694,             0.00392,             0.00392,             0.00392,             0.41911,             0.46566,             0.62913,            0.035861,             0.55358,             0.72085,               0.995,               0.995,             0.96477,            0.063899,               0.995,               0.995
                  78,            0.037565,            0.054595,            0.025128,             0.94557,             0.47943,             0.83478,              0.4707,            0.034222,            0.052876,            0.016694,             0.00384,             0.00384,             0.00384,             0.41911,             0.46566,             0.62913,            0.035861,             0.55358,             0.72085,               0.995,               0.995,             0.96477,            0.063899,               0.995,               0.995
                  79,            0.037578,            0.043728,              0.0234,             0.78985,             0.65511,             0.83207,             0.63003,            0.031497,            0.052829,            0.016544,             0.00376,             0.00376,             0.00376,             0.81871,             0.70286,             0.66029,            0.076414,             0.84666,             0.67525,               0.995,               0.995,             0.99337,             0.10396,             0.91006,               0.995
                  80,            0.040458,            0.054113,            0.022692,             0.78985,             0.65511,             0.83207,             0.63003,            0.031497,            0.052829,            0.016544,             0.00368,             0.00368,             0.00368,             0.81871,             0.70286,             0.66029,            0.076414,             0.84666,             0.67525,               0.995,               0.995,             0.99337,             0.10396,             0.91006,               0.995
                  81,            0.039802,            0.037571,            0.025973,             0.83372,             0.65263,             0.83717,             0.64358,            0.024907,             0.05132,            0.016368,              0.0036,              0.0036,              0.0036,              0.7596,             0.68565,             0.72157,            0.062314,              0.8389,             0.79345,               0.995,               0.995,               0.995,             0.10094,             0.94211,               0.995
                  82,            0.035972,            0.050095,            0.021563,             0.83372,             0.65263,             0.83717,             0.64358,            0.024907,             0.05132,            0.016368,             0.00352,             0.00352,             0.00352,              0.7596,             0.68565,             0.72157,            0.062314,              0.8389,             0.79345,               0.995,               0.995,               0.995,             0.10094,             0.94211,               0.995
                  83,            0.035367,            0.057618,            0.024076,             0.74686,             0.65814,             0.82765,             0.44472,            0.036019,             0.05515,            0.016134,             0.00344,             0.00344,             0.00344,             0.43446,             0.47913,             0.40802,            0.048069,              0.5978,             0.70085,               0.995,               0.995,             0.89579,             0.10396,             0.98115,               0.995
